SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;__;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Firmicutes;c__Erysipelotrichi,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Deferribacteres;c__Deferribacteres,Unassigned;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Archaea;p__Euryarchaeota;c__Halobacteria,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Spirochaetes;c__Spirochaetes,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__[Thermi];c__Deinococci,k__Bacteria;p__Verrucomicrobia;__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Actinobacteria;__
HEB24001,100421,104564,791,192,81849,155,59,59,289,39,607,14,8,4,0,0,11,0,0,0,0,0,0,0,0,0,0
HEB24002,162208,162991,1523,205,43158,166,60,52,357,40,353,23,6,7,0,0,23,0,0,0,0,0,0,0,0,0,0
HEB24003,136027,39481,406,163,112625,149,68,32,229,27,493,5,13,7,0,0,25,0,0,0,0,0,0,0,0,0,0
HEB24004,85961,217675,1500,350,90475,238,71,75,1554,49,761,21,7,5,0,0,25,0,0,0,0,0,0,0,0,0,0
HEB24005,90300,135259,494,383,239158,285,122,103,711,95,1102,14,17,14,4,6,15,0,0,0,0,0,0,0,0,0,0
HEB24006,137927,105162,388,223,157579,209,81,39,494,53,379,20,0,12,4,0,37,0,0,0,0,0,0,0,0,0,0
HEB24007,150217,168379,691,340,81286,224,82,68,596,62,658,14,0,15,5,3,38,0,0,0,0,0,0,0,0,0,0
HEB24008,195648,249498,314,231,40735,197,75,60,470,42,988,20,7,0,3,3,28,0,0,0,0,0,0,0,0,0,0
HEB24009,2630,618611,418,5625,81589,296,1941,5709,661,521,1177,34,12,7,74,3,1165,0,0,0,0,0,0,3,0,0,0
HEB24010,63317,340642,541,370,154585,291,115,99,535,103,1386,20,14,11,0,2,27,0,0,0,0,0,0,0,0,0,0
HEB24011,203845,209350,353,186,84348,166,88,62,491,60,315,14,11,3,4,5,44,0,0,0,0,0,0,0,0,0,0
HEB24012,3575,125999,550,9062,391751,391,457,383,504,177,235,22,13,18,11,8,70,0,0,0,0,0,0,0,0,0,0
HEB24013,2811,463105,548,92513,66471,920,54963,23833,323,12505,126,1668,90,8,1571,0,207,64,0,0,0,0,298,0,0,0,0
HEB24014,41317,262224,345,220,70209,170,54,122,333,59,724,23,5,10,0,0,25,0,0,0,0,0,0,0,0,0,0
HEB24015,3917,361617,728,3217,440061,382,624,833,489,270,255,33,18,16,11,3,245,0,0,0,0,0,0,0,0,0,0
HEB24016,86428,314005,627,392,143624,291,108,115,666,87,1514,24,4,8,6,0,66,0,0,0,0,0,0,0,0,0,0
