SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,k__Bacteria;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__Firmicutes;c__Clostridia;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,Unassigned;__;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Firmicutes;c__Bacilli;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,k__Bacteria;p__Firmicutes;c__Clostridia;o__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MKC10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;__,k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales,k__Bacteria;p__Verrucomicrobia;__;__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,k__Bacteria;p__Actinobacteria;__;__
HEB24001,100421,74724,2035,27805,791,192,81731,133,59,50,289,118,20,17,607,22,9,14,8,4,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24002,162208,3749,1816,157426,1523,205,43106,148,60,37,357,52,18,12,353,28,15,23,6,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24003,136027,3548,1716,34217,406,163,112192,141,68,26,229,433,8,14,493,13,6,5,13,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24004,85961,9879,2815,204981,1500,350,89679,224,71,59,1554,796,14,21,761,28,12,21,7,5,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24005,90300,7972,3555,123732,494,383,239065,256,122,88,711,93,26,57,1102,38,10,14,17,14,4,0,6,0,15,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24006,137927,10034,2389,92739,388,223,157526,195,81,23,494,53,14,18,379,27,12,20,0,12,4,0,0,8,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24007,150217,5661,2398,160320,691,340,80977,197,82,55,596,309,27,35,658,24,11,14,0,15,5,0,3,3,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24008,195648,173878,2500,73116,314,231,40478,171,75,52,470,257,26,22,988,16,8,20,7,0,3,0,3,4,28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24009,2630,464869,4456,149216,418,5625,81491,263,1941,5666,661,78,33,399,1177,29,14,34,12,7,74,0,3,93,1165,29,0,0,70,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
HEB24010,63317,301317,3973,35352,541,370,153841,248,115,78,535,744,41,73,1386,30,18,20,14,11,0,0,2,0,27,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24011,203845,192909,2388,14053,353,186,84221,150,88,54,491,127,16,36,315,24,8,14,11,3,4,0,5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24012,3575,34286,6758,84955,550,9062,391664,360,457,354,504,87,31,115,235,53,12,22,13,18,11,0,8,9,70,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24013,2811,360369,94934,6837,548,92513,66238,735,54963,21617,323,106,155,12398,126,40,8,1668,90,8,1571,0,0,67,207,1628,64,555,965,0,30,0,18,36,91,0,0,0,0,0,0,0,0,7,0,298,0,0,0,0
HEB24014,41317,122455,2605,137164,345,220,70138,154,54,112,333,71,16,32,724,27,10,23,5,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24015,3917,346445,5773,9392,728,3217,439954,343,624,701,489,107,32,236,255,34,21,33,18,16,11,7,3,0,245,33,0,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24016,86428,163081,3685,147239,627,392,143525,261,108,89,666,99,30,48,1514,39,18,24,4,8,6,0,0,0,66,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24017,91982,190678,3779,165804,455,405,82515,235,96,66,1066,69,31,43,669,37,11,14,11,12,4,0,5,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24018,2899,343215,8975,1465,341,77633,15160,599,159073,148904,478,30,47,5212,26,78,6,385,178,6,869,14,22,953,140,511,95,54,513,0,79,0,0,12,13,0,0,0,63,0,0,45,0,0,11,5,78,0,0,0
HEB24019,1806,177351,13676,1126,241,30741,14598,813,157722,158169,154,39,40,15198,8,29,7,675,79,7,1001,132,4,31,19,297,50,123,438,0,52,0,18,49,0,0,0,0,10,0,0,8,0,0,0,6,35,0,0,0
HEB24020,191205,115029,3185,16204,450,272,172444,225,92,72,808,233,23,73,1090,29,16,9,15,12,0,0,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24021,197734,66429,3392,99999,1186,387,140187,240,86,49,917,163,26,41,1165,30,13,23,15,11,0,5,0,0,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24022,3389,391827,4536,20605,521,7144,278009,265,540,1205,721,86,39,107,329,36,20,16,12,9,15,0,0,7,317,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
HEB24023,20075,77210,4617,18174,689,619,408905,357,113,75,1885,205,33,68,421,45,15,32,14,18,7,0,0,0,39,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24024,3634,471171,30601,4487,495,110331,43374,706,68486,22200,323,68,79,25115,17,196,9,441,600,9,3173,0,0,228,207,1203,564,283,914,0,227,22,0,0,121,130,0,0,47,0,0,177,0,0,0,0,96,0,0,0
HEB24025,150448,65800,2735,141588,1209,179,63501,177,78,43,394,62,12,44,298,34,12,13,6,10,0,4,5,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24026,3125,522242,4582,38247,540,2971,189321,241,2278,7582,1201,96,26,88,1029,23,22,29,7,9,12,5,0,23,293,9,0,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24027,360472,75847,2685,46125,441,251,110099,206,97,45,917,62,22,30,806,36,17,12,12,10,0,0,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24028,261468,7073,2867,97490,508,193,170886,199,97,51,355,92,29,26,1294,31,12,15,18,11,0,3,5,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24029,168220,173259,2970,28857,7438,247,139539,189,91,50,1530,83,25,39,4333,33,13,20,7,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24030,167338,70702,2471,128680,336,192,53260,160,70,48,279,45,20,26,241,28,12,16,11,7,0,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24031,287756,24026,3128,248294,480,377,74357,213,116,59,515,193,23,44,294,29,13,17,18,13,0,2,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24032,118260,20217,3716,239347,427,392,149376,265,122,61,7351,78,26,49,1172,44,12,20,9,11,0,0,5,6,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24033,171569,124152,3445,4035,708,248,167991,240,90,76,371,846,22,28,541,38,11,21,11,7,0,3,6,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24034,383474,30795,2962,78226,1321,334,141651,204,147,125,526,115,35,39,1602,28,9,15,14,7,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24035,3543,134544,4544,6900,530,529,425854,301,186,136,405,100,27,99,92,33,10,21,19,14,6,6,0,0,54,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24036,60864,288459,24276,16687,422,51855,69884,485,107604,47572,394,85,316,18733,890,80,11,406,274,8,1343,0,0,133,518,420,130,36,623,0,61,0,35,10,40,0,38,0,25,15,88,0,0,104,0,0,88,0,0,0
HEB24037,169188,66520,3543,37971,488,370,221557,246,111,43,567,102,22,36,218,31,11,16,9,13,5,5,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB24038,196519,157378,3289,57974,434,357,114745,194,92,63,450,79,17,36,1586,30,12,11,11,10,0,4,4,4,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
